Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Home,RECOVERY,,1,13739,549.56,13739,549.56,6,,0.48,0.79,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,6,,0.48,0.79,0.68,0.53
Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,15,,0.64,0.55,NaN,NaN
Away,BALL LOST,,1,13766,550.64,13814,552.56,15,,0.64,0.55,0.76,0.52
Home,RECOVERY,,1,13814,552.56,13814,552.56,9,,0.73,0.56,NaN,NaN
Home,CHALLENGE,TACKLE-LOST,1,13843,553.72,13843,553.72,9,,0.8,0.52,NaN,NaN
Home,BALL LOST,THEFT,1,13843,553.72,13843,553.72,9,,0.8,0.52,NaN,NaN
Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,16,,0.81,0.53,NaN,NaN
Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,16,,0.81,0.53,NaN,NaN
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,16,,0.89,0.48,0.96,-0.04
Home,SET PIECE,THROW IN,1,14574,582.96,14574,582.96,4,,NaN,NaN,NaN,NaN
Home,PASS,,1,14574,582.96,14607,584.28,4,9,0.86,-0.02,0.96,0.1
Home,PASS,,1,14607,584.28,14637,585.48,9,4,0.96,0.1,0.83,0.01
Home,PASS,,1,14637,585.48,14666,586.64,4,8,0.83,0.01,0.92,0.21
Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,8,,0.97,0.28,0.92,0.4
Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,21,,0.93,0.39,NaN,NaN
Away,PASS,,1,14772,590.88,14793,591.72,21,19,0.91,0.35,0.83,0.31
Away,PASS,,1,14793,591.72,14815,592.6,19,16,0.83,0.31,0.92,0.37
Away,PASS,,1,14834,593.36,14870,594.8,16,21,0.91,0.35,0.8,0.12
Away,PASS,,1,14870,594.8,14890,595.6,21,18,0.8,0.12,0.83,0.13
Away,PASS,,1,14890,595.6,14924,596.96,18,24,0.83,0.13,0.59,0.12
Away,BALL LOST,,1,14967,598.68,15046,601.84,24,,0.58,0.04,0.31,0.06
Home,RECOVERY,,1,15043,601.72,15043,601.72,2,,0.33,0.13,NaN,NaN
Home,PASS,,1,15043,601.72,15109,604.36,2,11,0.33,0.13,0.16,0.43
Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,11,,0.16,0.52,0.57,0.87
